City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
132,ornskoldsvik,63.2909,18.7153,29.35,74,0,8.05,SE,1674754720
133,san vicente,-26.6167,-54.1333,96.57,19,32,4.25,AR,1674754721
134,nelson bay,-32.7167,152.15,73.99,96,90,1.99,AU,1674754721
135,mahanje,-9.9333,35.3333,64.44,97,100,2.59,TZ,1674754721
136,torbay,47.6666,-52.7314,33.39,80,100,19.57,CA,1674754557
137,batagay,67.6333,134.6333,-53.32,100,54,1.41,RU,1674754723
138,ouadda,8.0777,22.4007,79.81,19,88,5.55,CF,1674754723
139,nador,35.174,-2.9287,55.65,54,20,13.8,MA,1674754724
140,aleksandrov gay,50.147,48.5704,20.88,67,39,6.29,RU,1674754724
141,russell,32.3502,-85.1999,47.48,61,20,13.8,US,1674754725
142,guadalupe y calvo,26.1,-106.9667,57.99,9,43,9.46,MX,1674754725
143,biak,-0.9131,122.8766,76.3,84,94,4.25,ID,1674754726
144,iraan,30.914,-101.8979,45.14,35,6,1.01,US,1674754726
145,georgetown,5.4112,100.3354,80.53,82,20,5.75,MY,1674754569
146,savannakhet,16.566,104.751,63.7,69,1,5.01,LA,1674754727
147,mimongo,-1.6195,11.6068,70.18,98,81,2.3,GA,1674754727
148,rosarito,32.3333,-117.0333,66.25,28,0,28.36,MX,1674754728
149,ponta delgada,37.7333,-25.6667,61.52,55,20,11.5,PT,1674754728
150,andenes,69.3143,16.1194,33.78,64,75,21.85,NO,1674754729
151,upernavik,72.7868,-56.1549,3.9,94,100,10.07,GL,1674754729
152,severo-kurilsk,50.6789,156.125,29.95,91,100,8.72,RU,1674754729
153,george town,5.4112,100.3354,80.53,82,20,5.75,MY,1674754730
154,homer,59.6425,-151.5483,35.8,78,100,14.0,US,1674754605
155,vao,-22.6667,167.4833,78.13,84,48,8.88,NC,1674754730
156,rindal,63.0565,9.2124,29.64,96,100,5.64,NO,1674754731
157,mayumba,-3.432,10.6554,80.65,81,91,5.06,GA,1674754731
158,giresun,40.5,38.5,17.2,66,0,6.42,TR,1674754732
159,mendoza,-32.8908,-68.8272,83.73,51,40,10.36,AR,1674754732
160,suez,29.9737,32.5263,61.41,40,0,4.97,EG,1674754732
161,hami,42.8,93.45,14.58,42,0,6.38,CN,1674754733
162,makakilo city,21.3469,-158.0858,71.92,76,0,9.22,US,1674754733
163,uitenhage,-33.7576,25.3971,72.99,70,0,3.15,ZA,1674754734
164,cocobeach,1.0002,9.5823,79.68,80,80,9.17,GA,1674754734
165,maceio,-9.6658,-35.7353,89.04,58,20,16.11,BR,1674754735
166,geraldton,-28.7667,114.6,73.81,64,8,14.97,AU,1674754735
167,tiksi,71.6872,128.8694,-37.44,98,71,7.09,RU,1674754735
168,ambilobe,-13.2,49.05,73.11,96,100,2.17,MG,1674754736
169,port elizabeth,-33.918,25.5701,73.69,72,0,4.61,ZA,1674754737
170,khuzhir,53.1939,107.3397,7.99,82,100,9.82,RU,1674754737
171,ostersund,63.1792,14.6357,28.85,86,20,17.27,SE,1674754738
172,lubao,14.9167,120.55,75.27,83,98,6.85,PH,1674754739
173,san jose,37.3394,-121.895,58.59,55,0,11.5,US,1674754099
174,marzuq,14.4,46.4667,62.4,75,0,7.23,YE,1674754739
175,khatanga,71.9667,102.5,-14.73,82,96,12.37,RU,1674754740
176,moron,-34.6534,-58.6198,90.97,56,31,9.15,AR,1674754740
